new_agreementnumber	new_effectivedate	new_expirydate	new_settlementdate	new_jurprov	new_jurisdictioncode	new_employeecount	new_naicscodeid_firsttwodigit	new_publicprivate	new_naicscodeid	new_summaryreportavailabilityindicator	new_province	new_provinceenglish	new_provincefrench	new_citynameenglish	new_citynamefrench	new_cityprovincenameenglish	new_cityprovincenamefrench	new_unionid	new_unionnameenglish	new_unionnamefrench	new_affiliationtext	new_unionacronymenglish	new_unionacronymfrench	new_noccodeid	new_name_e	new_name_f	new_companyofficialnameeng	new_companyofficialnamefra	new_currentagreementindicator
14318-03	2015-02-01	2019-01-31	2015-02-01	F20	20	10	33	Private	334220	No	35	Ontario		Fort Frances	Fort Frances	Ontario	Ontario	606	Unifor	Unifor	3	CLC	CTC	5225	5225 - Audio and video recording technicians	5225 - Techniciens/techniciennes en enregistrement audio et vidéo	Acadia Broadcasting Limited	Acadia Broadcasting limitée	Current
14323-02	2016-04-01	2020-03-31	2016-04-01	F20	20	6	56	Private	562210	No	35	Ontario		Thorold	Thorold	Ontario	Ontario	420	Teamsters Canada	Teamsters Canada	16	CtW/CLC	CtW/CLC	7511	7511 - Transport truck drivers	7511 - Conducteurs/conductrices de camions de transport	Clean Harbors Canada Inc.	Clean Harbors Canada Inc.	Current
14324-02	2016-11-30	2020-12-01	2016-05-29	F20	20	300	48	Private	481110	Yes	35	Ontario		Toronto	Toronto	Ontario	Ontario	606	Unifor	Unifor	3	CLC	CTC	2271	2271 - Air pilots, flight engineers and flying instructors	2271 - Pilotes, navigateurs/navigatrices et instructeurs/instructrices de pilotage du transport aéri	Sunwing Airlines	Sunwing Airlines	Current
14326-02	2015-02-25	2018-02-24	2015-02-07	F20	20	49	48	Private	484121	No	24	Quebec		Acton Vale	Acton Vale	Quebec	Québec	606	Unifor	Unifor	3	CLC	CTC	7511	7511 - Transport truck drivers	7511 - Conducteurs/conductrices de camions de transport	Transfreight Inc.	Transfreight inc.	Active
14332-02	2015-04-01	2018-03-31	2015-07-31	F20	20	80	48	Private	482113	No	99	Multiprovince		Province wide	à l'échelle de la province	Quebec	Québec	489	United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers Intl. Union	Synd. intl. des travailleurs unis en métallurgie, papier, foresterie, caoutchouc, fabrication, énergie, services, etc.	1	AFL-CIO/CLC	FAT-COI/CTC	7	7 - Trades, transport and equipment operators and related occupations	7 - Métiers, transport, machinerie et domaines apparentés	Transport ferroviaire Tshiuetin	Transport ferroviaire Tshiuetin	Active
14340-02	2016-03-02	2020-03-01	2016-06-20	F20	20	110	51	Private	515120	Yes	35	Ontario		Province wide	à l'échelle de la province	Ontario	Ontario	606	Unifor	Unifor	3	CLC	CTC	5225	5225 - Audio and video recording technicians	5225 - Techniciens/techniciennes en enregistrement audio et vidéo	Bell Express Vu LP	Bell Express Vu LP	Current
14345-02	2015-06-01	2018-05-31	2016-03-22	F20	20	120	48	Private	488119	Yes	24	Quebec		Québec	Québec	Quebec	Québec	606	Unifor	Unifor	3	CLC	CTC	7534	7534 - Air transport ramp attendants	7534 - Agents/agentes de piste dans le transport aérien	Swissport Canada inc.	Swissport Canada inc.	Current
14353-02	2016-06-01	2021-05-31	2017-02-21	F20	20	950	48	Private	481110	Yes	99	Multiprovince		Canada wide	à l'échelle du Canada	Multiprovince	Multiprovince	600	Canadian Union of Public Employees	Syndicat canadien de la fonction publique	3	CLC	CTC	6522	6522 - Pursers and flight attendants	6522 - Commissaires et agents/agentes de bord	Sunwing Airlines Inc.	Sunwing Airlines Inc.	Current
14354-02	2012-01-01	2014-12-31	2012-01-01	F20	20	50	48	Private	482114	No	35	Ontario		Toronto	Toronto	Ontario	Ontario	161	International Brotherhood of Electrical Workers	Fraternité internationale des ouvriers en électricité	1	AFL-CIO/CLC	FAT-COI/CTC	7531	7531 - Railway yard and track maintenance workers	7531 - Ouvriers/ouvrières de gares de triage et à l'entretien de la voie ferrée	Toronto Terminals Railway Company	Toronto Terminals Railway Company	Active
14355-02	2012-01-01	2014-12-31	2012-01-01	F20	20	20	48	Private	482114	No	35	Ontario		Toronto	Toronto	Ontario	Ontario	161	International Brotherhood of Electrical Workers	Fraternité internationale des ouvriers en électricité	1	AFL-CIO/CLC	FAT-COI/CTC	7531	7531 - Railway yard and track maintenance workers	7531 - Ouvriers/ouvrières de gares de triage et à l'entretien de la voie ferrée	Toronto Terminals Railway Company	Toronto Terminals Railway Company	Active
